,Wolf,Sheep,memory
0,521,2146,70914048.0
1,539,2081,70914048.0
2,563,2064,70914048.0
3,586,2000,70914048.0
4,606,1917,70914048.0
5,641,1809,70914048.0
6,673,1703,70914048.0
7,700,1601,70914048.0
8,731,1485,70914048.0
9,747,1337,70914048.0
10,775,1181,70914048.0
11,805,1077,70914048.0
12,840,993,70914048.0
13,877,882,70914048.0
14,911,760,70877184.0
15,959,664,70877184.0
16,992,574,70877184.0
17,1032,513,70877184.0
18,1063,450,70877184.0
19,1084,399,70877184.0
20,1112,355,70877184.0
21,1158,323,70877184.0
22,1193,306,70877184.0
23,1226,265,70877184.0
24,1261,244,70877184.0
25,1284,207,70877184.0
26,1323,182,70877184.0
27,1359,148,70877184.0
28,1394,124,70877184.0
29,1413,103,70877184.0
30,1416,99,70877184.0
31,1439,98,70877184.0
32,1446,96,70877184.0
33,1474,94,70877184.0
34,1511,94,70877184.0
35,1524,88,70877184.0
36,1554,86,70877184.0
37,1560,81,70877184.0
38,1588,77,70877184.0
39,1569,75,70877184.0
40,1581,76,70877184.0
41,1574,77,70877184.0
42,1573,77,70877184.0
43,1553,72,70877184.0
44,1510,69,70877184.0
45,1496,68,70877184.0
46,1471,68,70877184.0
47,1444,64,70877184.0
48,1449,61,70877184.0
49,1408,57,70877184.0
50,1353,57,70877184.0
51,1365,55,70877184.0
52,1312,47,70877184.0
53,1269,50,70877184.0
54,1245,50,70877184.0
55,1225,47,70877184.0
56,1190,46,70877184.0
57,1155,45,70877184.0
58,1117,44,70877184.0
59,1074,40,70877184.0
60,1035,39,70877184.0
61,1007,35,70877184.0
62,993,36,70877184.0
63,953,36,70877184.0
64,910,33,70877184.0
65,854,33,70877184.0
66,828,33,70877184.0
67,809,34,70877184.0
68,781,35,70877184.0
69,744,34,70877184.0
70,721,32,70877184.0
71,691,32,70877184.0
72,672,34,70877184.0
73,653,32,70877184.0
74,621,31,70877184.0
75,595,31,70877184.0
76,542,31,70877184.0
77,508,31,70877184.0
78,484,33,70877184.0
79,466,33,70877184.0
80,452,33,70877184.0
81,433,32,70877184.0
82,410,34,70877184.0
83,382,34,70877184.0
84,346,37,70877184.0
85,318,39,70877184.0
86,301,39,70877184.0
87,287,36,70877184.0
88,270,36,70877184.0
89,262,34,70877184.0
90,239,35,70877184.0
91,222,39,70877184.0
92,222,40,70877184.0
93,219,42,70877184.0
94,207,44,70877184.0
95,197,46,70877184.0
96,190,45,70877184.0
97,173,46,70877184.0
98,163,47,70877184.0
99,159,54,70877184.0
100,147,57,70877184.0
101,125,58,70877184.0
102,112,62,70877184.0
103,109,61,70877184.0
104,101,66,70877184.0
105,98,74,70877184.0
106,91,77,70877184.0
107,93,78,70877184.0
108,92,86,70877184.0
109,96,88,70877184.0
110,95,95,70877184.0
111,81,95,70877184.0
112,78,97,70877184.0
113,73,102,70877184.0
114,74,107,70877184.0
115,76,118,70877184.0
116,72,118,70877184.0
117,63,123,70877184.0
118,62,123,70877184.0
119,60,130,70877184.0
120,57,134,70877184.0
121,57,139,70877184.0
122,55,141,70877184.0
123,56,153,70877184.0
124,56,156,70877184.0
125,53,160,70877184.0
126,53,166,70877184.0
127,50,174,70877184.0
128,45,183,70877184.0
129,40,191,70877184.0
130,37,192,70877184.0
131,40,191,70877184.0
132,39,201,70877184.0
133,39,214,70877184.0
134,39,229,70877184.0
135,34,239,70877184.0
136,35,250,70877184.0
137,35,252,68882432.0
138,34,271,64372736.0
139,35,277,64372736.0
140,34,289,64372736.0
141,35,293,64372736.0
142,34,291,64372736.0
143,32,305,64372736.0
144,34,314,64372736.0
145,30,331,64372736.0
146,26,347,64372736.0
147,25,363,64372736.0
148,25,390,64372736.0
149,22,405,64372736.0
150,22,420,64372736.0
151,23,438,64372736.0
152,24,449,64372736.0
153,24,477,64372736.0
154,25,486,64372736.0
155,28,479,64372736.0
156,30,490,64372736.0
157,31,504,64372736.0
158,31,527,64372736.0
159,31,540,64372736.0
160,32,537,64372736.0
161,35,539,64372736.0
162,35,545,64372736.0
163,31,559,64372736.0
164,31,577,64372736.0
165,33,602,64372736.0
166,31,607,64372736.0
167,31,613,64372736.0
168,28,611,64372736.0
169,28,625,64372736.0
170,29,623,64372736.0
171,29,643,64372736.0
172,30,635,64372736.0
173,32,626,64372736.0
174,33,641,64372736.0
175,34,659,64372736.0
176,35,675,64372736.0
177,33,693,64372736.0
178,33,695,64372736.0
179,33,711,64372736.0
180,34,715,64372736.0
181,30,702,64372736.0
182,33,694,64372736.0
183,37,710,64372736.0
184,39,730,64372736.0
185,41,736,64372736.0
186,43,761,64372736.0
187,41,760,64372736.0
188,42,768,64372736.0
189,44,762,64372736.0
190,46,760,64372736.0
191,46,772,64372736.0
192,48,770,64372736.0
193,46,780,64372736.0
194,46,785,64372736.0
195,49,802,64372736.0
196,51,805,64372736.0
197,54,801,64372736.0
198,56,807,64372736.0
199,58,811,64372736.0
200,58,834,64372736.0
201,62,837,64372736.0
202,64,840,64372736.0
203,63,856,64372736.0
204,68,843,64372736.0
205,69,867,64372736.0
206,72,876,64372736.0
207,72,874,64372736.0
208,72,859,64372736.0
209,79,855,64372736.0
210,82,868,64372736.0
211,84,869,64372736.0
212,90,849,64372736.0
213,94,857,64372736.0
214,94,868,64372736.0
215,99,879,64372736.0
216,102,899,64372736.0
217,104,912,64372736.0
218,103,913,64372736.0
219,106,922,64372736.0
220,109,893,64372736.0
221,108,881,64372736.0
222,113,877,64372736.0
223,119,862,64372736.0
224,119,830,64372736.0
225,123,840,64372736.0
226,122,851,64372736.0
227,122,834,64372736.0
228,123,846,64372736.0
229,121,848,64372736.0
230,124,845,64372736.0
231,129,861,64372736.0
232,131,841,64372736.0
233,135,844,64372736.0
234,131,844,64372736.0
235,134,832,64372736.0
236,140,826,64372736.0
237,149,826,64372736.0
238,151,815,64372736.0
239,148,827,64372736.0
240,154,815,64372736.0
241,159,788,64372736.0
242,163,784,64372736.0
243,173,819,64372736.0
244,172,830,64372736.0
245,166,838,64372736.0
246,167,830,64372736.0
247,176,849,64372736.0
248,180,839,64372736.0
249,184,861,64372736.0
250,185,859,64372736.0
251,181,864,64372736.0
252,178,856,64372736.0
253,187,858,64372736.0
254,192,849,64372736.0
255,198,851,64372736.0
256,199,828,64372736.0
257,203,816,64372736.0
258,205,811,64372736.0
259,204,787,64372736.0
260,202,793,64372736.0
261,202,777,64372736.0
262,204,764,64372736.0
263,213,747,64372736.0
264,213,749,64372736.0
265,221,755,64372736.0
266,221,757,64372736.0
267,230,759,64372736.0
268,223,763,64372736.0
269,223,757,64372736.0
270,220,739,64372736.0
271,220,733,64372736.0
272,223,737,64372736.0
273,218,723,64372736.0
274,215,725,64372736.0
275,215,744,64372736.0
276,226,769,64372736.0
277,234,779,64372736.0
278,238,785,64372736.0
279,237,786,64372736.0
280,240,783,64372736.0
281,248,778,64372736.0
282,255,776,64372736.0
283,262,785,64372736.0
284,271,789,64372736.0
285,259,799,64372736.0
286,263,810,64372736.0
287,270,810,64372736.0
288,280,821,64372736.0
289,288,809,64372736.0
290,290,816,64372736.0
291,288,793,64372736.0
292,282,792,64372736.0
293,274,788,64372736.0
294,269,783,64372736.0
295,271,776,64372736.0
296,276,769,64372736.0
297,273,759,64372736.0
298,265,757,64372736.0
299,268,769,64372736.0
300,272,755,64372736.0
301,273,742,64372736.0
302,277,761,64372736.0
303,286,750,64372736.0
304,286,736,64372736.0
305,291,737,64372736.0
306,297,716,64372736.0
307,303,694,64372736.0
308,305,688,64372736.0
309,305,684,64372736.0
310,310,677,64372736.0
311,319,674,64372736.0
312,322,655,64372736.0
313,330,650,64372736.0
314,325,650,64372736.0
315,322,654,64372736.0
316,325,649,64372736.0
317,341,632,64372736.0
318,335,634,64372736.0
319,331,647,64372736.0
320,333,653,64372736.0
321,323,664,64372736.0
322,331,666,64372736.0
323,339,678,64372736.0
324,332,665,64372736.0
325,336,666,64372736.0
326,339,671,64372736.0
327,344,678,64372736.0
328,340,673,64372736.0
329,355,679,64372736.0
330,361,671,64372736.0
331,373,670,64372736.0
332,378,693,64372736.0
333,377,696,64372736.0
334,372,686,64372736.0
335,357,691,64372736.0
336,352,706,64372736.0
337,338,691,64372736.0
338,335,651,64372736.0
339,339,635,64372736.0
340,352,647,64372736.0
341,350,637,64372736.0
342,356,635,64372736.0
343,359,626,64372736.0
344,355,631,64372736.0
345,364,646,64372736.0
346,374,646,64372736.0
347,384,624,64372736.0
348,378,610,64372736.0
349,359,598,64372736.0
350,353,619,64372736.0
351,350,621,64372736.0
352,348,615,64372736.0
353,341,592,64372736.0
354,337,598,64372736.0
355,348,588,64372736.0
356,349,582,64372736.0
357,363,567,64372736.0
358,369,550,64372736.0
359,371,551,64372736.0
360,380,558,64372736.0
361,385,568,64372736.0
362,368,577,64372736.0
363,356,588,64372736.0
364,360,588,64372736.0
365,362,596,64372736.0
366,359,595,64372736.0
367,359,600,64372736.0
368,349,598,64372736.0
369,351,617,64372736.0
370,345,628,64372736.0
371,346,635,64372736.0
372,331,649,64372736.0
373,337,653,64372736.0
374,343,667,64372736.0
375,346,650,64372736.0
376,343,660,64372736.0
377,338,657,64372736.0
378,345,642,64372736.0
379,357,634,64372736.0
380,365,623,64372736.0
381,368,613,64372736.0
382,371,633,64372736.0
383,368,631,64372736.0
384,362,634,64372736.0
385,357,622,64372736.0
386,361,607,64372736.0
387,357,618,64372736.0
388,355,611,64372736.0
389,357,621,64372736.0
390,362,641,64372736.0
391,360,645,64372736.0
392,371,625,64372736.0
393,377,615,64372736.0
394,371,589,64372736.0
395,369,603,64372736.0
396,366,603,64372736.0
397,362,577,64372736.0
398,368,584,64372736.0
399,366,566,64372736.0
400,363,569,64372736.0
401,367,566,64372736.0
402,368,566,64372736.0
403,369,567,64372736.0
404,365,570,64372736.0
405,359,561,64372736.0
406,360,573,64372736.0
407,365,563,64372736.0
408,374,575,64372736.0
409,385,582,64372736.0
410,387,585,64372736.0
411,388,579,64372736.0
412,387,588,64372736.0
413,373,594,64372736.0
414,389,603,64372736.0
415,387,604,64372736.0
416,384,619,64372736.0
417,378,595,64372736.0
418,380,599,64372736.0
419,377,600,64372736.0
420,381,609,64372736.0
421,374,620,64372736.0
422,360,639,64372736.0
423,365,637,64372736.0
424,364,620,64372736.0
425,362,638,64372736.0
426,369,648,64372736.0
427,374,643,64372736.0
428,378,640,64372736.0
429,387,640,64372736.0
430,396,644,64372736.0
