,CPU
0,160.52417874336243
1,181.1590371131897
2,174.5981240272522
3,171.86875414848328
4,175.7944791316986
5,170.47934317588806
6,174.3951301574707
7,178.44588685035706
8,176.20241379737854
9,179.35460305213928
10,168.4036250114441
11,177.28086614608765
12,177.31503891944885
13,174.54901909828186
14,179.27751994132996
15,161.56551003456116
16,176.56643509864807
17,171.7750437259674
18,175.45258617401123
19,168.87850713729858
