,CPU
0,128.95304608345032
1,139.38739109039307
2,125.48980808258057
3,143.12609100341797
4,124.20849418640137
5,147.9436252117157
6,139.4765510559082
7,127.03787231445312
8,147.37747526168823
9,134.29439210891724
10,121.4046802520752
11,136.7147889137268
12,118.58234810829163
13,145.535582780838
14,138.02572417259216
15,147.8184859752655
16,128.75105500221252
17,135.738135099411
18,139.8188660144806
19,134.89254117012024
