,cell_count
0,1101
1,1101
2,1120
3,1143
4,1175
5,1207
6,1245
7,1286
8,1331
9,1386
10,1439
11,1498
12,1544
13,1594
14,1665
15,1718
16,1794
17,1892
18,1987
19,2118
20,2129
21,2284
22,2408
23,2442
24,2623
25,2708
26,2619
27,2831
28,2861
29,3007
30,2951
31,3031
32,3133
33,3130
34,3304
35,3355
36,3294
37,3294
38,3578
39,3423
40,3428
41,3442
