x,y,type,size
1.1175,0.6525,cell,10
1.0425,0.8775,cell,10
0.3975,0.6375,cell,10
0.45749999999999996,0.3825,cell,10
1.0725,0.6674999999999999,cell,10
0.9674999999999999,1.1025,cell,10
0.7274999999999999,0.2175,cell,10
1.1175,0.3825,cell,10
0.0225,0.2025,cell,10
0.9674999999999999,1.3575,cell,10
0.1575,0.9374999999999999,cell,10
1.4475,0.6974999999999999,cell,10
0.2925,0.1725,cell,10
1.1625,0.9974999999999999,cell,10
0.9824999999999999,0.3225,cell,10
0.7575,1.0875000000000001,cell,10
0.4725,1.1325,cell,10
0.6525,0.3675,cell,10
1.1025,0.6824999999999999,cell,10
1.4025,0.1275,cell,10
0.7575,1.3575,cell,10
1.0725,1.4625,cell,10
0.6674999999999999,0.2625,cell,10
0.7575,0.1275,cell,10
1.2075,0.8925,cell,10
0.2925,1.0425,cell,10
1.2375,1.3575,cell,10
0.7575,1.1325,cell,10
0.2625,0.3825,cell,10
0.2625,0.9374999999999999,cell,10
1.1625,0.8474999999999999,cell,10
0.3075,0.8925,cell,10
1.3425,0.6375,cell,10
0.3975,1.1475,cell,10
0.8174999999999999,0.3075,cell,10
0.4425,0.9224999999999999,cell,10
0.5624999999999999,1.2975,cell,10
0.3675,0.5774999999999999,cell,10
0.23249999999999998,0.8474999999999999,cell,10
0.1575,0.3225,cell,10
0.6375,1.3575,cell,10
0.1275,0.2475,cell,10
0.4275,0.3975,cell,10
1.2375,0.9224999999999999,cell,10
1.4625,0.0525,cell,10
0.3825,0.0675,cell,10
0.7875,0.3225,cell,10
0.0675,0.7124999999999999,cell,10
0.08249999999999999,0.7424999999999999,cell,10
0.0525,0.4275,cell,10
0.5475,1.0425,cell,10
0.3525,0.5774999999999999,cell,10
0.4725,1.0425,cell,10
1.1925000000000001,1.0125,cell,10
0.2625,0.3675,cell,10
0.3675,0.14250000000000002,cell,10
1.3725,0.5325,cell,10
1.1925000000000001,0.9974999999999999,cell,10
0.33749999999999997,0.7274999999999999,cell,10
1.0575,1.1325,cell,10
