,cell_count
0,1129
1,1129
2,1129
3,1129
4,1129
5,1129
6,1129
7,1129
8,1129
9,1129
10,1129
11,1129
12,1187
13,1201
14,1207
15,1213
16,1222
17,1230
18,1234
19,1238
20,1241
21,1246
22,1253
23,1260
24,1348
25,1379
26,1390
27,1404
28,1418
29,1438
30,1451
31,1462
32,1474
33,1485
34,1493
35,1506
36,1651
37,1692
38,1709
39,1732
40,1757
41,1792
42,1826
43,1846
44,1866
45,1881
46,1896
47,1921
48,2179
49,2227
50,2261
51,2292
52,2334
53,2374
54,2430
55,2440
56,2459
57,2472
58,2491
59,2532
60,2736
61,2974
62,2882
63,2908
64,2930
65,2986
66,3031
67,3033
68,3051
69,3054
70,3063
71,3088
72,3279
73,3218
74,3304
75,3625
76,3458
77,3539
78,3520
79,3487
80,3474
81,3471
82,3490
83,3501
84,3615
85,3526
86,3743
87,3958
88,3897
89,3952
90,3827
91,3938
92,3857
93,3844
94,3849
95,3843
96,3809
97,3973
98,3937
99,4292
100,4054
101,4049
102,4092
103,4102
104,4096
105,4190
106,4116
107,4076
108,4121
109,4373
110,4302
111,4486
112,4402
113,4441
114,4317
115,4300
116,4354
117,4422
118,4335
119,4355
120,4400
121,4383
122,4560
123,4403
124,4293
125,4457
126,4491
127,4396
128,4491
129,4538
130,4470
131,4382
132,4390
133,4471
134,4525
135,4600
136,4421
137,4450
138,4388
139,4439
140,4518
141,4700
142,4493
143,4377
144,4607
145,4563
146,4423
147,4644
148,4652
149,4484
150,4650
151,4514
152,4615
153,4781
154,4601
155,4551
156,4465
157,4652
158,4565
159,4677
160,4743
161,4644
162,4700
163,4582
164,4695
165,4742
166,4686
167,4625
168,4566
169,4531
170,4568
171,4814
172,4751
173,4666
174,4618
175,4661
176,4564
177,4793
178,4633
179,4595
180,4597
181,4712
182,4611
183,4831
184,4756
185,4683
186,4617
187,4821
188,4669
189,4578
190,4504
191,4546
192,4799
193,4581
194,4695
195,4642
196,4677
197,4693
198,4861
199,4843
200,4691
201,4763
202,4619
203,4633
204,4672
205,4632
206,4527
207,4617
208,4529
209,4722
210,4703
211,4698
212,4584
213,4960
214,4847
215,4778
216,4650
217,4793
218,4786
219,4783
220,4767
221,4808
222,4657
223,4813
224,4757
225,4627
226,4843
227,4724
228,4832
229,4788
230,4736
231,4780
232,4852
233,4734
234,4733
235,4660
236,4709
237,5004
238,4675
239,4710
240,4673
241,4672
242,4810
243,4684
244,4896
245,4731
246,4906
247,4670
248,4744
249,4687
250,4765
251,4908
252,4722
253,4831
254,4865
255,4872
256,4955
257,4748
258,4876
259,4824
260,4816
261,4731
262,4856
263,4872
264,4766
265,4857
266,4907
267,4809
268,4760
269,4715
270,4726
271,4826
272,4771
273,4973
274,4881
275,4776
276,4716
277,4685
278,4702
279,5091
280,4900
281,4862
282,4829
283,4808
284,4866
285,4910
286,4951
287,4844
288,4786
289,4769
290,4755
291,4946
292,4811
293,4692
294,4708
295,4801
296,4734
297,4784
298,4844
299,4971
300,4728
301,4771
302,4713
303,4668
304,4774
305,4647
306,4711
307,4605
308,4807
309,4845
310,4708
311,4689
312,4667
313,4724
314,4902
315,4802
316,4950
317,4898
318,4837
319,4794
320,4784
321,4834
322,4898
323,4795
324,4919
325,4750
326,4781
327,4846
328,4708
329,4666
330,4702
331,4790
332,4781
333,4871
334,4696
335,4935
336,4694
