,CPU
0,66.72046254470035
1,68.63501323827326
2,67.00619329602682
3,66.47947848380926
4,69.24683378247548
5,60.29898837589422
6,59.463388918733074
7,66.10447295939083
8,62.12188242995551
9,69.8714570026524
10,56.063152624991616
11,62.36317957489075
12,73.85350337041803
13,65.94793519550919
14,66.6134033559852
15,59.3715288833191
16,66.1580900628924
17,63.662938633954376
18,70.95527125708405
19,68.24928446860966
