,Unnamed: 0,Memory
0,20745400.0,
1,23249500.0,
2,27604200.0,
3,33463500.0,
4,39774700.0,
5,20887100.0,
6,23467900.0,
7,27656000.0,
8,33479700.0,
9,39844700.0,
10,20873200.0,
11,23338300.0,
12,27585800.0,
13,33843400.0,
14,39989700.0,
15,21098000.0,
16,23623100.0,
17,27694600.0,
18,33515900.0,
19,39937800.0,
