,Memory
0,53980394.59196488
1,54855409.903584205
2,60976670.87716005
3,53930445.14626628
4,46865264.60518015
5,47665326.95331494
6,42081711.06242368
7,48452577.02898013
8,56850556.03487157
9,50296247.3137365
10,53307013.550641894
11,52605197.11776944
12,54316176.27857644
13,48265744.181494094
14,54675428.06374694
15,50776382.23348638
16,42959720.85632623
17,47925403.83889821
18,44796665.28523959
19,46691612.04378896
